﻿지하철역ID,환승전호선ID,환승전열차방면,환승후호선ID,환승후열차방면,차량번호,출입문위치
﻿1006000645,﻿1006,﻿응암,﻿1007,﻿공릉,﻿8,﻿4
﻿1003000342,﻿1003,﻿대화,﻿1077,﻿강남,﻿5,﻿4
﻿1003000342,﻿1003,﻿대화,﻿1077,﻿양재시민의 숲,﻿5,﻿4
﻿1003000342,﻿1003,﻿오금,﻿1077,﻿강남,﻿6,﻿1
﻿1003000342,﻿1003,﻿수서,﻿1077,﻿양재시민의 숲,﻿6,﻿1
﻿1003000344,﻿1003,﻿수서,﻿1075,﻿한티,﻿5,﻿4
﻿1003000344,﻿1003,﻿수서,﻿1075,﻿구룡,﻿5,﻿4
﻿1003000344,﻿1003,﻿대화,﻿1075,﻿한티,﻿6,﻿3
﻿1003000344,﻿1003,﻿대화,﻿1075,﻿구룡,﻿6,﻿3
﻿1003000349,﻿1003,﻿수서,﻿1075,﻿대모산입구,﻿8,﻿4
﻿1003000349,﻿1003,﻿수서,﻿1075,﻿복정,﻿8,﻿4
﻿1003000349,﻿1003,﻿대화,﻿1075,﻿대모산입구,﻿3,﻿1
﻿1003000349,﻿1003,﻿대화,﻿1075,﻿복정,﻿3,﻿1
﻿1003000350,﻿1003,﻿오금,﻿1008,﻿송파,﻿2,﻿1
﻿1003000350,﻿1003,﻿오금,﻿1008,﻿문정,﻿2,﻿1
﻿1003000350,﻿1003,﻿대화,﻿1008,﻿송파,﻿9,﻿4
﻿1003000350,﻿1003,﻿대화,﻿1008,﻿문정,﻿9,﻿4
﻿1003000352,﻿1003,﻿오금,﻿1005,﻿방이,﻿9,﻿4
﻿1003000352,﻿1003,﻿오금,﻿1005,﻿개롱,﻿9,﻿4
﻿1004000411,﻿1004,﻿당고개,﻿1007,﻿마들,﻿10,﻿0
﻿1004000411,﻿1004,﻿당고개,﻿1007,﻿중계,﻿10,﻿0
﻿1004000411,﻿1004,﻿오이도,﻿1007,﻿마들,﻿1,﻿0
﻿1004000411,﻿1004,﻿오이도,﻿1007,﻿중계,﻿1,﻿0
